run_type,true_value,estimated,abs_error,range_norm_error,at_boundary,converged,train_loss,val_loss,holdout_rmsle,n_iterations,elapsed_s,param,run_id
single,0.2,0.24808458304097164,0.04808458304097163,0.04808458304097163,False,False,0.10483264262494868,0.25119740678241725,0.12104116282006125,66,67.32618390000425,propagation.beta_M,1
single,0.5,0.5074616659594778,0.007461665959477837,0.007461665959477837,False,False,0.10830954266014607,0.20348525745124643,0.11209120371819715,66,63.3375627999194,propagation.beta_M,2
single,0.8,0.9927728629834174,0.19277286298341734,0.19277286298341734,False,False,0.0633864104865374,0.4508944279140817,0.11914038355162176,66,63.141530599910766,propagation.beta_M,3
single,-4.0,-3.203093529641962,0.7969064703580382,0.09961330879475477,False,True,0.13110110602126893,0.6939975886566353,0.13061201163925548,48,47.32311539980583,activation.alpha_0,4
single,0.0,-0.009695115155992973,0.009695115155992973,0.0012118893944991216,False,True,0.07597805047471089,0.4939635614091388,0.18497190741225475,42,41.406273799948394,activation.alpha_0,5
single,1.5,1.9879739931563059,0.48797399315630585,0.06099674914453823,False,True,0.12759944963573003,1.0577097900653087,0.205506418422843,54,53.1905766997952,activation.alpha_0,6
single,-3.0,-5.050901401329851,2.0509014013298508,0.1709084501108209,False,True,0.10580998317381417,4.009159064116076,0.2704321877951616,30,29.78282650001347,decay.gamma_0,7
single,0.0,-0.2649506331600282,0.2649506331600282,0.02207921943000235,False,False,0.14782502241793036,0.39417242524870544,0.1340512132232304,66,65.12572219991125,decay.gamma_0,8
single,3.0,1.2819748650412963,1.7180251349587037,0.14316876124655864,False,True,0.3531523089093172,1.1524430571616107,0.35279138362755047,66,64.7279571001418,decay.gamma_0,9
single,0.2,0.15239102322810072,0.04760897677189929,0.04760897677189929,False,False,0.06342311368484654,0.4527635112134903,0.15395037766152236,66,63.50195010006428,viral.beta_V,10
single,0.5,0.5537170408272484,0.053717040827248375,0.053717040827248375,False,True,0.0933690036391071,0.4062647171588535,0.150797544986496,36,34.45821820013225,viral.beta_V,11
single,0.8,0.8158686402720324,0.015868640272032386,0.015868640272032386,False,True,0.09015304773805985,0.31004606269621593,0.15582906598527768,60,57.133709399960935,viral.beta_V,12
dual,0.3,0.38952559728279,0.08952559728279003,0.08952559728279003,False,False,0.1848311141446357,0.3827894692618617,0.2278046499370706,15,246.26703460002318,propagation.beta_M,13
dual,-3.0,-4.005287022305906,1.0052870223059056,0.1256608777882382,False,False,0.1848311141446357,0.3827894692618617,0.2278046499370706,15,246.26703460002318,activation.alpha_0,13
dual,0.5,0.2991076723498115,0.2008923276501885,0.2008923276501885,False,False,0.04923285723278014,0.9278671779947818,0.21669133570986746,15,246.98864219989628,propagation.beta_M,14
dual,0.0,1.3864049771970661,1.3864049771970661,0.17330062214963327,False,False,0.04923285723278014,0.9278671779947818,0.21669133570986746,15,246.98864219989628,activation.alpha_0,14
dual,0.7,0.7029316611919659,0.002931661191965973,0.002931661191965973,False,False,0.017583023594520776,1.081087415521982,0.14819318486058722,15,244.6470792000182,propagation.beta_M,15
dual,1.5,1.373659547173535,0.1263404528264651,0.01579255660330814,False,False,0.017583023594520776,1.081087415521982,0.14819318486058722,15,244.6470792000182,activation.alpha_0,15
dual,-3.0,-4.843678203668989,1.843678203668989,0.23045977545862362,False,True,0.06741081283499575,3.895968612369897,0.23875262633407268,15,253.9061807000544,activation.alpha_0,16
dual,-3.0,-5.253723820984241,2.2537238209842414,0.18781031841535345,False,True,0.06741081283499575,3.895968612369897,0.23875262633407268,15,253.9061807000544,decay.gamma_0,16
dual,0.0,-0.40643918566934456,0.40643918566934456,0.05080489820866807,False,False,0.10388219106808891,0.4642197755374064,0.18468683822020776,15,252.53153699985705,activation.alpha_0,17
dual,0.0,-0.5012026187226302,0.5012026187226302,0.041766884893552514,False,False,0.10388219106808891,0.4642197755374064,0.18468683822020776,15,252.53153699985705,decay.gamma_0,17
dual,1.5,0.1970735668196415,1.3029264331803585,0.1628658041475448,False,False,0.09084026158592895,1.0351835287868545,0.18936111217764126,15,251.36869499995373,activation.alpha_0,18
dual,2.5,0.48319987717632484,2.016800122823675,0.16806667690197294,False,False,0.09084026158592895,1.0351835287868545,0.18936111217764126,15,251.36869499995373,decay.gamma_0,18
dual,0.3,0.3031130145679954,0.003113014567995398,0.003113014567995398,False,False,0.07071958542839835,0.812531607050918,0.1417880024357612,15,243.57253180001862,propagation.beta_M,19
dual,0.3,0.5358152346851677,0.23581523468516769,0.23581523468516769,False,False,0.07071958542839835,0.812531607050918,0.1417880024357612,15,243.57253180001862,viral.beta_V,19
dual,0.5,0.5881139078575339,0.08811390785753392,0.08811390785753392,False,False,0.08046212952417658,0.3638818108935495,0.1109058553656937,15,242.90960559993982,propagation.beta_M,20
dual,0.5,0.8854067968220592,0.38540679682205925,0.38540679682205925,False,False,0.08046212952417658,0.3638818108935495,0.1109058553656937,15,242.90960559993982,viral.beta_V,20
dual,0.7,0.9669164173943968,0.26691641739439687,0.26691641739439687,False,False,0.062005444317027036,0.5478477655437215,0.15042982883047848,15,241.84940809989348,propagation.beta_M,21
dual,0.7,0.9722866322002163,0.2722866322002163,0.2722866322002163,False,False,0.062005444317027036,0.5478477655437215,0.15042982883047848,15,241.84940809989348,viral.beta_V,21
quad,0.7562656495250212,0.8415189224788451,0.0852532729538239,0.0852532729538239,False,False,0.07126851409934387,0.4090036070956882,0.11252885132205295,25,985.0807590999175,propagation.beta_M,22
quad,-2.7394790546454333,-2.6956960173686633,0.04378303727677002,0.0054728796595962526,False,False,0.07126851409934387,0.4090036070956882,0.11252885132205295,25,985.0807590999175,activation.alpha_0,22
quad,0.754973818692708,0.32445449183247055,0.4305193268602374,0.03587661057168645,False,False,0.07126851409934387,0.4090036070956882,0.11252885132205295,25,985.0807590999175,decay.gamma_0,22
quad,0.07235347209922505,0.5551616042902986,0.48280813219107355,0.48280813219107355,False,False,0.07126851409934387,0.4090036070956882,0.11252885132205295,25,985.0807590999175,viral.beta_V,22
quad,0.41960702571642383,0.4568208706625559,0.03721384494613206,0.03721384494613206,False,False,0.03142484862179304,0.6459005341381907,0.18875266294784615,25,983.9548140000552,propagation.beta_M,23
quad,0.3432605777386195,0.15390719421141252,0.189353383527207,0.023669172940900873,False,False,0.03142484862179304,0.6459005341381907,0.18875266294784615,25,983.9548140000552,activation.alpha_0,23
quad,3.8059122275751704,2.4597122596768553,1.3461999678983152,0.11218333065819293,False,False,0.03142484862179304,0.6459005341381907,0.18875266294784615,25,983.9548140000552,decay.gamma_0,23
quad,0.4653155744645364,0.5254949457783397,0.06017937131380324,0.06017937131380324,False,False,0.03142484862179304,0.6459005341381907,0.18875266294784615,25,983.9548140000552,viral.beta_V,23
quad,0.17318221244262622,0.2033573897752321,0.030175177332605885,0.030175177332605885,False,False,0.03022251467216173,0.15684357988303457,0.08228827004971191,25,1000.1513194998261,propagation.beta_M,24
quad,-4.18905112720566,-5.186303157036065,0.9972520298304044,0.12465650372880055,False,False,0.03022251467216173,0.15684357988303457,0.08228827004971191,25,1000.1513194998261,activation.alpha_0,24
quad,-1.5469057327876028,-2.085976986338193,0.5390712535505902,0.04492260446254918,False,False,0.03022251467216173,0.15684357988303457,0.08228827004971191,25,1000.1513194998261,decay.gamma_0,24
quad,0.5489187585913228,0.218535284424966,0.33038347416635677,0.33038347416635677,False,False,0.03022251467216173,0.15684357988303457,0.08228827004971191,25,1000.1513194998261,viral.beta_V,24
quad,0.6484371043780168,0.9762211899914222,0.32778408561340533,0.32778408561340533,False,False,0.1003594647288676,0.1153390611084759,0.12467548146120334,25,991.8843183000572,propagation.beta_M,25
quad,-5.174942557210982,-5.837060467197443,0.6621179099864607,0.08276473874830759,False,False,0.1003594647288676,0.1153390611084759,0.12467548146120334,25,991.8843183000572,activation.alpha_0,25
quad,-1.1063744656113386,-1.0260326551233916,0.08034181048794697,0.006695150873995581,False,False,0.1003594647288676,0.1153390611084759,0.12467548146120334,25,991.8843183000572,decay.gamma_0,25
quad,0.1604958416186505,0.15020875850831156,0.010287083110338935,0.010287083110338935,False,False,0.1003594647288676,0.1153390611084759,0.12467548146120334,25,991.8843183000572,viral.beta_V,25
quad,0.474730095929225,0.31170218603700584,0.16302790989221916,0.16302790989221916,False,False,0.033519096668594144,0.9028807074859503,0.08778175585627747,25,1000.1921282999683,propagation.beta_M,26
quad,-1.0957892336664665,-0.505416625084874,0.5903726085815926,0.07379657607269907,False,False,0.033519096668594144,0.9028807074859503,0.08778175585627747,25,1000.1921282999683,activation.alpha_0,26
quad,-5.381715659240056,-5.183611271715407,0.19810438752464954,0.016508698960387463,False,False,0.033519096668594144,0.9028807074859503,0.08778175585627747,25,1000.1921282999683,decay.gamma_0,26
quad,0.17564851574036,0.16426167779442058,0.011386837945939421,0.011386837945939421,False,False,0.033519096668594144,0.9028807074859503,0.08778175585627747,25,1000.1921282999683,viral.beta_V,26
