pair,mode,label,users,interactions,elapsed_s,n_data,train_end,obs_peak,sim_peak,peak_ratio,peak_step_err,train_nrmse,val_nrmse,val_peak_nrmse,train_rmsle,val_rmsle,val_mase,train_peak,val_denom,auc_ratio,bl_persist_nrmse,bl_exp_nrmse,bl_pulse_nrmse,bl_persist_rmsle,bl_exp_rmsle,bl_pulse_rmsle,rolling_val_nrmse,rolling_train_nrmse
pair_07,broadcast,fake,338,355,0,9,5,265.0,16.0,0.06037735849056604,5,0.416472,11.32843,0.042749,2.671039,2.068107,0.1027,265.0,1.0,0.231454,0.816497,0.816497,0.816497,0.565952,0.565952,0.565952,1.0,0.516997
pair_07,broadcast,real,444,736,0,10,6,381.0,16.0,0.04199475065616798,6,0.378196,6.540642,0.034334,2.146143,2.380863,0.1024,381.0,2.0,0.229029,1.258306,0.634612,1.258306,1.144026,0.727873,1.144026,1.040833,0.508718
pair_07,cumulative,fake,338,355,0,9,5,265.0,23.0,0.08679245283018867,3,0.416489,15.039504,0.056753,2.833659,2.346173,0.1399,265.0,1.0,0.351929,0.816497,0.816497,0.816497,0.565952,0.565952,0.565952,1.0,0.516997
pair_07,cumulative,real,444,736,0,10,6,381.0,27.4,0.07191601049868766,3,0.377255,8.003541,0.042013,2.140316,2.563921,0.1264,381.0,2.0,0.394514,1.258306,0.634612,1.258306,1.144026,0.727873,1.144026,1.040833,0.508718
pair_08,broadcast,fake,142,159,0,8,4,133.0,4.6,0.03458646616541353,3,0.443693,3.471791,0.026104,2.045931,1.362681,0.0521,133.0,1.0,0.15461,0.816497,0.577338,0.816497,0.565952,0.400177,0.565952,0.816497,0.616266
pair_08,broadcast,real,237,461,0,11,7,222.0,10.4,0.04684684684684685,4,0.351514,6.796077,0.030613,2.233113,1.885691,0.1065,222.0,1.0,0.296802,0.57735,0.57735,0.57735,0.400189,0.400189,0.400189,0.57735,0.486539
pair_08,cumulative,fake,142,159,0,8,4,133.0,10.2,0.07669172932330827,2,0.445462,7.815369,0.058762,2.259644,2.008364,0.1153,133.0,1.0,0.350355,0.816497,0.577338,0.816497,0.565952,0.400177,0.565952,0.816497,0.616266
pair_08,cumulative,real,237,461,0,11,7,222.0,16.2,0.07297297297297296,3,0.352393,9.296594,0.041877,2.44117,2.151148,0.1449,222.0,1.0,0.482729,0.57735,0.57735,0.57735,0.400189,0.400189,0.400189,0.57735,0.486539
pair_09,broadcast,fake,136,143,0,8,4,131.0,4.6,0.03511450381679389,3,0.440744,1.545962,0.023602,1.939139,1.262401,0.046,131.0,2.0,0.15539,0.57735,0.57735,0.57735,0.634284,0.634284,0.634284,0.57735,0.625256
pair_09,broadcast,real,226,374,0,9,5,219.0,8.6,0.039269406392694065,4,0.405787,6.297089,0.028754,2.221763,1.80673,0.0719,219.0,1.0,0.177925,0.57735,0.57735,0.57735,0.400189,0.400189,0.400189,0.57735,0.568189
pair_09,cumulative,fake,136,143,0,8,4,131.0,9.6,0.0732824427480916,2,0.443048,3.842308,0.058661,2.291254,1.939945,0.1155,131.0,2.0,0.365799,0.57735,0.57735,0.57735,0.634284,0.634284,0.634284,0.57735,0.625256
pair_09,cumulative,real,226,374,0,9,5,219.0,20.6,0.09406392694063928,3,0.410203,13.784532,0.062943,2.714442,2.500385,0.1552,219.0,1.0,0.479912,0.57735,0.57735,0.57735,0.400189,0.400189,0.400189,0.57735,0.568189
pair_10,broadcast,fake,151,158,0,6,3,145.0,7.4,0.05103448275862069,3,0.499335,3.043846,0.041984,2.115593,1.634708,0.0612,145.0,2.0,0.117057,0.707107,0.729133,0.707107,0.776836,0.787604,0.776836,1.0,0.707115
pair_10,broadcast,real,261,410,0,8,4,236.0,8.8,0.03728813559322034,4,0.447787,3.176476,0.026919,2.155781,1.298218,0.0544,236.0,2.0,0.151238,4.193249,0.20342,4.193249,1.509489,0.152882,1.509489,2.101587,0.616535
pair_10,cumulative,fake,151,158,0,6,3,145.0,9.2,0.06344827586206896,3,0.499959,3.636619,0.05016,2.248822,1.76883,0.0716,145.0,2.0,0.184615,0.707107,0.729133,0.707107,0.776836,0.787604,0.776836,1.0,0.707115
pair_10,cumulative,real,261,410,0,8,4,236.0,15.8,0.06694915254237288,3,0.447006,5.423713,0.045964,2.184594,1.66279,0.0921,236.0,2.0,0.284571,4.193249,0.20342,4.193249,1.509489,0.152882,1.509489,2.101587,0.616535
