pair_id,label,mode,case_id,n_users,n_interactions,elapsed_s,n_data_steps,obs_peak,sim_peak,peak_ratio,obs_peak_step,sim_peak_step,peak_step_error,train_nrmse,val_nrmse,mae,obs_auc,sim_auc,auc_ratio,baseline_persistence_nrmse,baseline_exp_decay_nrmse,baseline_pulse_decay_nrmse,seed_peak_cv,sim_mean_peak,sim_std_peak
pair_07,fake,cumulative,b4a497151507853058c8c50b6c6670f5,338,355,0,9,265.0,23.0,0.086792,1,4,3,0.416489,15.039504,47.377778,337.0,118.6,0.351929,0.422132,0.344533,0.343805,nan,23.0,5.8
pair_07,real,cumulative,6f2b7e632c64ba5835164abe2f1ab28e,444,736,0,10,381.0,27.4,0.071916,1,4,3,0.377255,8.003541,51.72,437.5,172.6,0.394514,0.4234,0.36491,0.105923,nan,27.4,14.7
pair_08,fake,broadcast,b9801872032a3bee629f6559bbf503ba,142,159,0,8,133.0,4.6,0.034586,1,4,3,0.443693,3.471791,19.15,141.0,21.8,0.15461,0.487216,0.352454,0.350017,nan,4.8,1.2
pair_08,real,broadcast,3b7e48be19979f9df3a146e2d0277c58,237,461,0,11,222.0,10.4,0.046847,1,5,4,0.351514,6.796077,26.163636,234.5,69.6,0.296802,0.414924,0.299247,0.298915,nan,10.4,4.0
pair_08,fake,cumulative,b9801872032a3bee629f6559bbf503ba,142,159,0,8,133.0,10.2,0.076692,1,3,2,0.445462,7.815369,21.85,141.0,49.4,0.350355,0.487216,0.352454,0.350017,nan,10.2,6.3
pair_08,real,cumulative,3b7e48be19979f9df3a146e2d0277c58,237,461,0,11,222.0,16.2,0.072973,1,4,3,0.352393,9.296594,30.0,234.5,113.2,0.482729,0.414924,0.299247,0.298915,nan,16.2,7.2
pair_09,fake,broadcast,dfb9f2af5bb9b16ba717b91d6be5fa2f,136,143,0,8,131.0,4.6,0.035115,1,4,3,0.440744,1.545962,18.175,134.5,20.9,0.15539,0.494337,0.353336,0.35073,nan,4.6,1.9
pair_09,real,broadcast,100536e843cd4e307e1a2865b28b1f05,226,374,0,9,219.0,8.6,0.039269,1,5,4,0.405787,6.297089,28.422222,226.5,40.3,0.177925,0.463927,0.331993,0.330409,nan,8.6,1.9
pair_09,fake,cumulative,dfb9f2af5bb9b16ba717b91d6be5fa2f,136,143,0,8,131.0,9.6,0.073282,1,3,2,0.443048,3.842308,21.925,134.5,49.2,0.365799,0.494337,0.353336,0.35073,nan,9.6,7.8
pair_09,real,cumulative,100536e843cd4e307e1a2865b28b1f05,226,374,0,9,219.0,20.6,0.094064,1,4,3,0.410203,13.784532,35.955556,226.5,108.7,0.479912,0.463927,0.331993,0.330409,nan,20.6,11.1
pair_10,fake,broadcast,3dac58ea8cfef832bde25278a699fd45,151,158,0,6,145.0,7.4,0.051034,1,4,3,0.499335,3.043846,26.3,149.5,17.5,0.117057,0.573431,0.401905,0.402456,nan,7.4,1.0
pair_10,real,broadcast,22c6a11c223c838fa933b5b4af777fcc,261,410,0,8,236.0,8.8,0.037288,1,5,4,0.447787,3.176476,33.85,262.5,39.7,0.151238,0.485463,0.327238,0.895445,nan,8.8,2.6
pair_10,fake,cumulative,3dac58ea8cfef832bde25278a699fd45,151,158,0,6,145.0,9.2,0.063448,1,4,3,0.499959,3.636619,28.0,149.5,27.6,0.184615,0.573431,0.401905,0.402456,nan,9.2,3.1
pair_10,real,cumulative,22c6a11c223c838fa933b5b4af777fcc,261,410,0,8,236.0,15.8,0.066949,1,4,3,0.447006,5.423713,37.45,262.5,74.7,0.284571,0.485463,0.327238,0.895445,nan,15.8,7.8
